fuzzy	mpn	size	unit	symbol
91.802	92.08	364	default/BandCamShot	?SetFrame@BandCamShot@@UAAXMM@Z
91.760	91.96	100	default/CharInterest	??0?$ObjPtr@VObject@Hmx@@@@QAA@PAVObject@Hmx@@0@Z
91.760	91.96	100	default/CharBone	??0?$ObjPtr@VCharBone@@@@QAA@PAVObject@Hmx@@PAVCharBone@@@Z
91.733	94.67	300	default/band3/game/Singer	?ResolveAmbiguity@Singer@@QAAXXZ
91.686	92.08	204	default/MetaMusic	??$__introsort_loop@PAPAUObjEntry@@PAU1@HUObjSort@@@stlpmtx_std@@YAXPAPAUObjEntry@@00HUObjSort@@@Z
91.365	92.00	252	default/MidiSynth	?Write@RingBuffer@@QAAHPAXH@Z
91.364	91.36	352	default/CharacterCreatorPanel	?ModifyFeature@CharacterCreatorPanel@@QAAXVSymbol@@M@Z
91.250	94.09	176	default/Spotlight	?SetColor@Spotlight@@IAAXH@Z
91.047	91.05	340	default/StorePanel	?Load@StorePanel@@UAAXXZ
90.698	91.40	344	default/Character	??5@YAAAVBinStreamRev@@AAV0@AAULod@Character@@@Z
90.526	90.53	152	default/CamAnim	?Save@RndCamAnim@@UAAXAAVBinStream@@@Z
90.430	91.83	372	default/Mesh	??$PropSync@VRndBone@@@@YA_NAAV?$ObjVector@VRndBone@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
90.410	90.49	244	default/Instance	??0SharedGroup@@QAA@PAVRndGroup@@@Z
89.726	90.04	380	default/network/net/NetSession	?AddLocalUser@NetSession@@QAAXPAVLocalUser@@@Z
89.557	90.60	460	default/RockCentral	?DataPointToQString@RockCentral@@SAXABVDataPoint@@AAVString@Quazal@@@Z
89.474	89.47	152	default/ChordbookPanel	?Poll@ChordbookPanel@@UAAXXZ
89.427	90.03	496	default/AmbientOcclusion	?Intersect@?$kdTree@VTriangle@@@@QBA_NABVVector3@@0MAAM@Z
89.419	90.31	248	default/Rot	?MakeRotQuat@@YAXABVVector3@@0AAVQuat@Hmx@@@Z
89.198	90.01	444	default/BandIKEffector	?ComputeHandPullAndQuat@BandIKEffector@@IAAXAAVQuatXfm@@AAVTransform@@ABV3@ABVVector3@@MMM@Z
89.189	91.89	148	default/VocalTrackDir	?RecalculateLyricZ@VocalTrackDir@@QAAXPA_N0@Z
88.723	89.36	188	default/DataFile	?LoadDtz@@YAPAVDataArray@@PBDH@Z
88.560	89.36	100	default/MessageTimer	??$__unguarded_insertion_sort_aux@PAPAUObjEntry@@PAU1@UObjSort@@@stlpmtx_std@@YAXPAPAUObjEntry@@00UObjSort@@@Z
88.549	91.37	284	default/Geo	?Intersect@@YA_NABVSegment@@ABVSphere@@@Z
88.298	88.83	416	default/SpotlightDrawer_NG	?RenderBeams@NgSpotlightDrawer@@IAAXABVMatrix4@Hmx@@@Z
88.258	88.66	248	default/system/rndobj/Utl	?SetBloomBlurWeights@@YAX_NMM@Z
88.207	90.31	484	default/VocalPart	?GetNoteSliceWeight@VocalPart@@QBAMMMH@Z
88.090	88.09	356	default/CharEyes	?Enter@CharEyes@@UAAXXZ
88.012	88.37	332	default/Memcard_Xbox	?Mount@MCContainerXbox@@UAA?AW4MCResult@@W4CreateType@@@Z
87.955	88.48	264	default/AmbientOcclusion	??0?$kdTree@VTriangle@@@@QAA@ABVBox@@@Z
87.692	88.46	104	default/CDReader	?CDReadExternal@@YA_NAAPAXH_K@Z
87.447	89.36	188	default/MemMgr	?MemResizeElem@@YAPAXAAPAXAAHPAXHHPBDH3@Z
87.143	87.43	140	default/PlayerDiffIcon	?PreLoad@PlayerDiffIcon@@UAAXAAVBinStream@@@Z
87.097	87.74	124	default/CheckboxDisplay	?PreLoad@CheckboxDisplay@@UAAXAAVBinStream@@@Z
87.031	87.50	128	default/PatchDir	?Load@PatchDir@@UAAXAAVBinStream@@@Z
86.761	87.73	352	default/GemPlayer	?ChangeDifficulty@GemPlayer@@UAAXW4Difficulty@@@Z
86.510	90.31	384	default/DelayEffect	?Process@DelayEffect@@QAAXPAMHH@Z
86.338	88.17	284	default/MemMgr	?MemTruncate@@YAPAXPAXHPBDH1@Z
86.136	86.36	176	default/LayerDir	?PreLoad@LayerDir@@UAAXAAVBinStream@@@Z
86.118	86.39	372	default/FileMerger	?FailedLoading@FileMerger@@MAAXPAVLoader@@@Z
85.844	87.41	128	default/Campaign	?GetCurrentPointsForNextMajorCampaignLevelForMetaScore@Campaign@@QAAHH@Z
85.836	86.49	488	default/CharDriver	??0CharDriver@@IAA@XZ
85.833	86.67	120	default/OutfitConfig	??0?$ObjPtr@VRndMat@@@@QAA@ABV0@@Z
85.714	85.71	112	default/RealGuitarTrackWatcherImpl	?InTrill@RealGuitarTrackWatcherImpl@@UBA_NH@Z
85.667	85.67	168	default/TexMovie	?Copy@TexMovie@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
85.519	85.99	424	default/system/rndobj/Rnd	?UpdateRate@Rnd@@IAAXXZ
85.484	85.81	124	default/MicInputArrow	?PreLoad@MicInputArrow@@UAAXAAVBinStream@@@Z
85.375	86.50	480	default/FileMerger	?Clear@Merger@FileMerger@@QAAXXZ
85.315	85.59	292	default/VocalPlayer	?LocalSetEnabledState@VocalPlayer@@UAAXW4EnabledState@@HPAVBandUser@@_N@Z
85.295	86.20	176	default/SongStatusMgr	?CreateOrAccessSongStatus@SongStatusMgr@@QBAPAVSongStatus@@H@Z
85.060	85.76	200	default/MessageTimer	??$__linear_insert@PAPAUObjEntry@@PAU1@UObjSort@@@stlpmtx_std@@YAXPAPAUObjEntry@@0PAU1@UObjSort@@@Z
84.652	87.73	448	default/system/rndobj/Utl	?TransformKeys@@YAXPAVRndTransAnim@@ABVTransform@@@Z
84.600	85.00	300	default/KeyboardTrackWatcherImpl	?CheckForFatFinger@KeyboardTrackWatcherImpl@@QAA_NMHIW4GemHitFlags@@@Z
84.286	85.14	140	default/BandCharacter	?PreLoad@BandCharacter@@UAAXAAVBinStream@@@Z
84.286	85.71	448	default/band3/game/BandUserMgr	??1BandUserMgr@@UAA@XZ
84.164	84.25	244	default/Emitter	?Save@SynthEmitter@@UAAXAAVBinStream@@@Z
84.079	84.40	252	default/system/obj/Dir	??$__find_if@PAVFilePath@@P6A_NABV1@@Z@stlpmtx_std@@YAPAVFilePath@@PAV1@0P6A_NABV1@@ZABUrandom_access_iterator_tag@0@@Z
84.000	86.38	412	default/EntityUploader	?BeginRockCentralOps@EntityUploader@@QAAHH@Z
83.257	85.11	420	default/FFT	?fft_real_forward_scalar@@YAHPAMK0@Z
83.188	84.28	128	default/HamPhotoDisplay	?Save@HamPhotoDisplay@@UAAXAAVBinStream@@@Z
83.081	83.60	344	default/CharClip	??0CharClip@@IAA@XZ
83.052	83.12	308	default/MemTracker	??$__adjust_heap@PAUMemDiffEntry@@HU1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAXPAUMemDiffEntry@@HHU1@U?$less@UMemDiffEntry@@@0@@Z
82.600	83.27	120	default/system/meta/MemcardMgr	?SaveLoadAllComplete@MemcardMgr@@QAAXXZ
82.585	84.28	260	default/BandSongMgr	??0SongMgr@@QAA@XZ
82.064	82.81	188	default/network/Platform/MemoryManager	?GetDefaultMemoryManager@MemoryManager@Quazal@@SAPAV12@XZ
81.831	82.45	260	default/CamAnim	?Load@RndCamAnim@@UAAXAAVBinStream@@@Z
81.620	81.69	284	default/MemTracker	??$__linear_insert@PAUMemDiffEntry@@U1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAXPAUMemDiffEntry@@0U1@U?$less@UMemDiffEntry@@@0@@Z
81.524	85.21	168	default/BoxMap	?ApplyLight@BoxMapLighting@@ABAXABV?$BoxLightArray@ULightParams_Directional@BoxMapLighting@@$0DC@@@@Z
81.486	82.16	148	default/TrackPanelDir	?PreLoad@TrackPanelDir@@UAAXAAVBinStream@@@Z
81.471	85.26	280	default/keygen_xbox	?getMasher@KeyChain@@YAXPAE@Z
81.254	81.61	284	default/CharBoneOffset	??0CharBoneOffset@@IAA@XZ
81.250	82.14	224	default/PanelDir	?DisableComponent@PanelDir@@QAAXPAVUIComponent@@W4JoypadAction@@@Z
80.755	81.04	212	default/MemTracker	??$__push_heap@PAUMemDiffEntry@@HU1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAXPAUMemDiffEntry@@HHU1@U?$less@UMemDiffEntry@@@0@@Z
80.667	81.41	108	default/Mesh	?HasVert@PatchVerts@@QBA_NH@Z
80.344	81.12	256	default/MeshAnim	?FindShader@RndShaderMgr@@QAAAAVRndShaderProgram@@W4ShaderType@@ABUShaderOptions@@@Z
80.333	82.00	120	default/StreamReceiver360	?Tag@StreamReceiver360@@UAAXXZ
80.000	83.23	316	default/BoxMap	?CacheData@BoxMapLighting@@QAA_NAAULightParams_Spot@1@@Z
79.876	82.97	388	default/HamIKEffector	?ApplyPosConstraints@HamIKEffector@@IAAMAAVVector3@@ABV2@PAV1@@Z
79.750	84.41	176	default/Joypad_Xbox	?GetXinputSinceLastFrame@@YAXHPAU_XINPUT_STATE@@PAI@Z
79.519	82.20	216	default/VelocityBuffer	?CacheXfms@RndXfmCache@@AAA_NPIBVRndMesh@@PIBMIAAI@Z
79.492	79.66	236	default/CharNeckTwist	?Poll@CharNeckTwist@@UAAXXZ
79.032	81.29	124	default/SynapseAPO	??0?$CSampleXAPOBase@VSynapseAPO@DSP@@USynapseAPOParams@2@@ATG@@IAA@XZ
78.860	78.95	228	default/MemTracker	??$__partial_sort@PAUMemDiffEntry@@U1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAXPAUMemDiffEntry@@000U?$less@UMemDiffEntry@@@0@@Z
78.710	78.71	124	default/system/synth/MoggClip	?SetupPanInfo@MoggClip@@QAAXMM_N@Z
78.303	79.42	304	default/BlockMgr	?SpinUp@BlockMgr@@QAA_NXZ
78.238	78.32	252	default/DirLoader	?SaveObjects@DirLoader@@SA_NPBDPAVObjectDir@@@Z
78.074	79.98	484	default/Archive	?Enumerate@Archive@@QAAXPBDP6AX00@Z_N0@Z
78.009	78.68	444	default/Console	?Break@RndConsole@@QAAXPAVDataArray@@@Z
77.866	79.02	328	default/MeshAnim	?Load@RndMultiMesh@@UAAXAAVBinStream@@@Z
77.775	79.28	480	default/Rnd_Xbox	?ModalDraw@DxRnd@@MAAXW4ModalType@Debug@@PBD@Z
77.211	77.34	152	default/FIRFilter	?setCoefficients@FIRFilter@soundtouch@@UAAXPBMII@Z
77.209	77.92	364	default/Text	?UpdateText@RndText@@QAAX_N@Z
76.951	79.02	164	default/MultiTempoTempoMap	?GetLoopTick@MultiTempoTempoMap@@UBAHHAAH@Z
76.417	83.19	192	default/Rot	?Multiply@@YAXABVVector3@@ABVQuat@Hmx@@AAV1@@Z
76.286	78.29	140	default/band3/game/TrainerPanel	?GetSectionLoopEnd@TrainerPanel@@QBAHH@Z
76.093	78.69	216	default/BandWardrobe	??0Merger@FileMerger@@QAA@PAVObject@Hmx@@@Z
76.029	76.46	140	default/band3/game/Game	??0GemTrainerLoopPanel@@QAA@XZ
75.095	75.19	420	default/Campaign	?ConfigureCampaignLevelData@Campaign@@QAAXPAVDataArray@@@Z
74.866	75.11	328	default/PartLauncher	??0RndPartLauncher@@IAA@XZ
74.450	74.95	444	default/TexMovie	?Load@TexMovie@@UAAXAAVBinStream@@@Z
74.215	74.98	260	default/FFT	?CalculateSinCosTable@@YAHJPAM@Z
74.151	75.38	212	default/Faders	?Load@FaderGroup@@QAAXAAVBinStream@@@Z
74.055	74.15	220	default/Sequence	?Load@Sequence@@UAAXAAVBinStream@@@Z
72.870	74.41	492	default/VelocityBuffer	?DrawMesh@RndVelocityBuffer@@QBAXPAVRndMesh@@@Z
72.647	73.29	340	default/BandSongMetadata	?HasPart@BandSongMetadata@@QBA_NVSymbol@@@Z
72.439	73.17	164	default/BufStream	?ReadImpl@BufStream@@EAAXPAXH@Z
72.143	75.41	196	default/Character	?UnhookShadow@Character@@IAAXXZ
70.403	72.98	496	default/SpectralAnalysis	?Analyze@SpectralAnalysis@DSP@@QAAXPBMPAM@Z
69.882	69.88	136	default/UIComponent	?Save@UIComponent@@UAAXAAVBinStream@@@Z
69.671	69.85	340	default/BandMachine	?SyncLoad@BandMachine@@QAAXAAVBinStream@@E@Z
69.614	70.30	176	default/system/ui/UIProxy	?PostLoad@UIProxy@@UAAXAAVBinStream@@@Z
69.571	69.93	224	default/CharNeckTwist	??0CharNeckTwist@@IAA@XZ
69.167	69.55	264	default/MemTracker	??$__unguarded_partition@PAUMemDiffEntry@@U1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAPAUMemDiffEntry@@PAU1@0U1@U?$less@UMemDiffEntry@@@0@@Z
69.157	69.16	332	default/OverdriveMeter	?SyncObjects@OverdriveMeter@@UAAXXZ
69.037	69.96	216	default/Part	?SetMesh@RndParticleSys@@QAAXPAVRndMesh@@@Z
68.927	69.86	384	default/TrackDir	?SetupKeyShifting@TrackDir@@QAAXPAVRndDir@@@Z
68.783	73.78	332	default/BoxMap	?ApplyLight@BoxMapLighting@@ABAXABV?$BoxLightArray@ULightParams_Point@BoxMapLighting@@$0DC@@@ABVVector3@@@Z
68.718	69.10	156	default/MemTracker	??$__unguarded_linear_insert@PAUMemDiffEntry@@U1@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAXPAUMemDiffEntry@@U1@U?$less@UMemDiffEntry@@@0@@Z
68.218	68.92	312	default/HDCache	?WriteDone@HDCache@@QAA_NXZ
67.989	68.15	380	default/GemTrackDir	?SetPitch@GemTrackDir@@QAAXM@Z
67.771	68.29	192	default/PracticePanel	?Exit@PracticePanel@@UAAXXZ
67.630	68.31	324	default/AsyncFile_Win	?_OpenAsync@AsyncFileWin@@MAAXXZ
67.333	69.54	480	default/ProfileMgr	?LoadGlobalOptions@ProfileMgr@@QAAXAAVFixedSizeSaveableStream@@@Z
66.825	66.92	412	default/Rnd_Xbox	?PreInit@DxRnd@@QAAXPAUHWND__@@@Z
66.699	68.07	292	default/CustomizePanel	??0CustomizePanel@@QAA@XZ
66.605	67.42	172	default/MeshAnim	??1RndMultiMesh@@UAA@XZ
66.490	68.84	204	default/Rnd_Xbox	?SavePreBuffer@DxRnd@@AAAXXZ
66.410	67.84	420	default/MapFile_Xbox	?GetFunction@XboxMapFile@@QAAPBDI_N@Z
66.342	67.79	152	default/BandSongMgr	?AddSongData@BandSongMgr@@UAAXPAVDataArray@@PAVDataLoader@@W4ContentLocT@@@Z
66.277	66.86	376	default/network/net/NetSession	?RemoveLocalUser@NetSession@@QAAXPAVLocalUser@@@Z
65.867	66.53	120	default/VocalTrack	?OnPhraseComplete@VocalTrack@@QAAXMMH@Z
65.583	66.10	192	default/band3/meta_band/TokenRedemptionPanel	?Unload@TokenRedemptionPanel@@UAAXXZ
65.241	66.79	116	default/VocalPart	?IsEmptyPhrase@VocalPart@@QBA_NABQBVVocalPhrase@@@Z
65.211	65.61	152	default/GemTrackDir	?SetPlayerLocal@GemTrackDir@@UAAXM@Z
65.089	66.70	360	default/UIList	?Copy@UIList@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
64.982	66.91	436	default/Shader	?CheckShadow@@YAXXZ
64.683	65.41	328	default/XLSPConnection	?SetState@XLSPConnection@@AAAXW4State@1@@Z
64.347	65.81	288	default/band3/meta_band/SessionMgr	?AreInvitesAllowed@SessionMgr@@UBA_NXZ
64.271	64.86	340	default/Character	?SyncObjects@Character@@UAAXXZ
63.857	64.57	168	default/StorePanel	?Enter@StorePanel@@UAAXXZ
63.833	65.00	240	default/band3/meta_band/PassiveMessenger	??0PassiveMessenger@@QAA@XZ
63.600	64.00	100	default/RockCentral	?OfferType@StoreOffer@@QBA?AVSymbol@@XZ
63.294	64.62	272	default/Object	??1Object@Hmx@@UAA@XZ
62.915	64.19	188	default/EventTrigger	??0Anim@EventTrigger@@QAA@PAVObject@Hmx@@@Z
62.773	65.27	176	default/PropKeys	?KeyLessEq@?$Keys@VColor@Hmx@@V12@@@QBAHM@Z
62.764	64.58	220	default/EnvAnim	?Load@RndEnvAnim@@UAAXAAVBinStream@@@Z
62.226	64.81	124	default/HamCamTransform	??6@YAAAVBinStream@@AAV0@ABUDynamicPropertyEntry@Flow@@@Z
62.033	63.34	244	default/Spotlight	?Load@ColorPalette@@UAAXAAVBinStream@@@Z
61.964	62.14	112	default/StorePanel	?IsLoaded@StorePanel@@UBA_NXZ
61.854	62.06	192	default/NetGameMsgs	?Dispatch@TourMostStarsMsg@@UAAXXZ
61.818	61.82	132	default/band3/meta_band/SaveLoadManager	?Start@SaveLoadManager@@IAAXXZ
61.786	62.14	112	default/FileMerger	?Filter@FileMerger@@MAA?AW4Action@MergeFilter@@PAVObject@Hmx@@0PAVObjectDir@@@Z
61.726	67.77	248	default/mtx	?Multiply@@YAXABVTransform@@0AAV1@@Z
61.500	62.50	120	default/Waypoint	??0?$ObjPtr@VSeqInst@@@@QAA@ABV0@@Z
61.234	61.23	188	default/UIPicture	?UpdateTexture@UIPicture@@IAAXABVFilePath@@@Z
61.222	62.75	144	default/UIListArrow	??0UIListArrow@@IAA@XZ
61.167	65.72	360	default/BoxMap	?ApplyLight@BoxMapLighting@@ABAXABV?$BoxLightArray@ULightParams_Spot@BoxMapLighting@@$0DC@@@ABVVector3@@@Z
60.673	62.58	440	default/system/obj/Dir	?Iterate@ObjectDir@@IAAXPAVDataArray@@_N@Z
60.633	62.51	480	default/system/bandobj/BandHeadShaper	?AddFrame@BandHeadShaper@@QAAXPBDHM@Z
60.511	61.29	180	default/MemHeap	?PrintAlloc@?A0xb5f23974@@YAXAAVTextStream@@PAHHHPBVAllocInfo@@@Z
60.483	61.86	116	default/TexMovie	?Replace@TexMovie@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z
60.361	61.47	144	default/File_Win	?FileQualifiedFilename@@YAXPADHPBD@Z
60.172	61.72	232	default/MemTrack	?MemTrackReport@@YAXH_N@Z
60.033	62.20	360	default/OutfitConfig	?PropSync@@YA_NAAVMeshAO@OutfitConfig@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
60.000	61.17	120	default/WavMgr	?Get@?$ResMgr@X@@QAAPAXVCRC@Hmx@@@Z
59.966	61.49	472	default/band3/tour/GigFilter	?Init@GigFilter@@QAAXPBVDataArray@@@Z
59.935	60.37	184	default/ScreenMask	?Load@RndScreenMask@@UAAXAAVBinStream@@@Z
59.934	61.82	244	default/CharacterCreatorPanel	??0CharacterCreatorPanel@@QAA@XZ
59.873	60.44	316	default/UI	?Terminate@UIManager@@UAAXXZ
59.603	61.88	272	default/DuplicatedObject	?ValidState@DuplicatedObject@Quazal@@QAAP8StateMachine@2@AAP832@AAXABVQEvent@32@@Z0@Z0@Z
58.991	60.48	444	default/BandSongMgr	?SongAudioData@BandSongMgr@@UBAPAVSongInfo@@H@Z
58.953	61.16	172	default/ArkFile	??0ArkFile@@QAA@PBDH@Z
58.519	60.00	216	default/Instance	?PostLoad@WorldInstance@@UAAXAAVBinStream@@@Z
58.364	59.27	132	default/LabelShrinkWrapper	?SetObjConcrete@?$ObjRefConcrete@VUILabel@@VObjectDir@@@@QAAXPAVUILabel@@@Z
58.105	60.21	228	default/LightHue	?Load@WorldReflection@@UAAXAAVBinStream@@@Z
57.917	58.70	432	default/PracticePanel	?Enter@PracticePanel@@UAAXXZ
57.286	57.90	196	default/CameraShot	?EndAnim@CamShot@@UAAXXZ
56.868	57.79	152	default/CameraShot	??0CamShotCrowd@@QAA@PAVObject@Hmx@@@Z
56.711	57.71	180	default/InlineHelp	?Update@InlineHelp@@MAAXXZ
56.528	56.81	212	default/Group	?Save@RndGroup@@UAAXAAVBinStream@@@Z
56.429	56.83	252	default/JoypadMsgs	?ClientConnect@NetStream@@QAAXABVNetAddress@@@Z
56.115	56.69	104	default/BaseMaterial	?SetObjConcrete@?$ObjRefConcrete@VBaseMaterial@@VObjectDir@@@@QAAXPAVBaseMaterial@@@Z
55.627	55.87	332	default/BandSongMgr	?AllowContentToBeAdded@BandSongMgr@@UAA_NPAVDataArray@@W4ContentLocT@@@Z
55.625	56.48	352	default/MemTracker	??$__median@UMemDiffEntry@@U?$less@UMemDiffEntry@@@stlpmtx_std@@@stlpmtx_std@@YAABUMemDiffEntry@@ABU1@00U?$less@UMemDiffEntry@@@0@@Z
55.494	55.56	324	default/UILabel	?PostLoad@UILabel@@UAAXAAVBinStream@@@Z
55.103	56.48	116	default/UIList	?Update@UIList@@EAAXXZ
55.062	56.00	192	default/CharBoneDir	?PostLoad@CharBoneDir@@UAAXAAVBinStream@@@Z
54.490	55.23	408	default/Game	?LoadSong@Game@@QAAXXZ
53.929	56.55	168	default/ClipDistMap	??$__partial_sort@PAUNode@ClipDistMap@@U12@UDistMapNodeSort@@@stlpmtx_std@@YAXPAUNode@ClipDistMap@@000UDistMapNodeSort@@@Z
53.740	55.29	400	default/BandSongMgr	?ReadCachedMetadataFromStream@BandSongMgr@@UAAXAAVBinStream@@H@Z
53.542	55.77	332	default/BandDirector	?GetModeInst@BandDirector@@QAA?AVSymbol@@V2@@Z
53.305	53.90	236	default/BandSongMetadata	?HasPart@BandSongMetadata@@UBA_NVSymbol@@_N@Z
51.960	51.96	100	default/Symbol	?PreInit@Symbol@@SAXHH@Z
51.803	52.13	244	default/MainHubPanel	?Poll@MainHubPanel@@UAAXXZ
51.371	52.44	280	default/ChecksumAlgorithm	?DeriveKey@ChecksumAlgorithm@Quazal@@QAA?AVKey@2@ABVBuffer@2@I@Z
51.056	53.11	428	default/UISlider	?PostLoad@PanelDir@@UAAXAAVBinStream@@@Z
50.645	51.24	304	default/ChordbookPanel	?Enter@ChordbookPanel@@UAAXXZ
50.543	50.76	184	default/system/bandobj/BandTrack	?RefreshOverdrive@BandTrack@@UAAXM_N@Z
50.441	51.52	372	default/BandWardrobe	?ValidGenreGender@BandWardrobe@@QAA_NPAVCamShot@@@Z
48.979	51.43	188	default/MemMgr	?MemFree@@YAXPAX@Z
48.494	49.13	348	default/CampaignSongInfoPanel	?Refresh@CampaignSongInfoPanel@@QAAXXZ
48.483	48.83	116	default/band3/game/PracticeSectionProvider	??1PracticeSectionProvider@@UAA@XZ
48.400	49.23	120	default/TypeProps	?ReplaceObject@TypeProps@@AAAXAAVDataNode@@PAVObject@Hmx@@1@Z
48.200	49.45	160	default/band3/game/RGTrainerPanel	?IsSongSectionComplete@RGTrainerPanel@@UAA_NPAVBandProfile@@HW4Difficulty@@H@Z
47.675	48.42	160	default/CharClipSet	?SetBpm@CharClipSet@@UAAXH@Z
47.406	47.88	128	default/AccomplishmentPanel	?GetAccomplishmentName@AccomplishmentPanel@@QAA?AVSymbol@@XZ
47.059	47.06	136	default/MidiReader	?ReadNextEventImpl@MidiReader@@AAAXXZ
46.115	47.47	384	default/UIScreen	?Enter@UIScreen@@UAAXPAV1@@Z
45.475	46.41	236	default/Object	?Copy@Object@Hmx@@UAAXPBV12@W4CopyType@12@@Z
45.282	45.54	156	default/band3/meta_band/PassiveMessenger	??1PassiveMessenger@@UAA@XZ
44.365	45.56	252	default/UIComponent	?PreLoad@UIComponent@@UAAXAAVBinStream@@@Z
44.176	45.50	136	default/Mesh	?Replace@RndMesh@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z
44.176	45.50	136	default/Lit	?Replace@RndLight@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z
43.977	50.34	176	default/AmbientOcclusion	?DistanceSH@RndAmbientOcclusion@@IBAMABVVector4@@ABVVector3@@01@Z
43.432	45.19	148	default/PatchDir	?DrawShowing@PatchDir@@UAAXXZ
43.164	44.23	244	default/LabelNumberTicker	?PreLoad@LabelNumberTicker@@UAAXAAVBinStream@@@Z
42.438	44.94	128	default/DirLoader	?HandleType@Object@Hmx@@QAA?AVDataNode@@PAVDataArray@@@Z
42.250	42.79	112	default/TexLoadPanel	??1TexLoadPanel@@UAA@XZ
41.710	43.32	372	default/MeterDisplay	?Update@MeterDisplay@@MAAXXZ
41.448	42.66	116	default/SpectralAnalysis	??0?$_Vector_base@MV?$XboxAllocator@M@@@stlpmtx_std@@QAA@IABV?$XboxAllocator@M@@@Z
41.250	42.14	112	default/SpotlightDrawer	?Copy@SpotlightDrawer@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
40.327	41.14	196	default/system/bandobj/DialogDisplay	?Poll@DialogDisplay@@UAAXXZ
39.622	40.40	180	default/band3/game/RGTrainerPanel	?Enter@RGTrainerPanel@@UAAXXZ
38.968	39.61	124	default/Part	?Replace@RndParticleSys@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z
38.724	39.89	464	default/DirLoader	??0DirLoader@@QAA@ABVFilePath@@W4LoaderPos@@PAVCallback@Loader@@PAVBinStream@@PAVObjectDir@@_N@Z
38.690	40.59	116	default/UIList	?PreLoad@UIList@@UAAXAAVBinStream@@@Z
38.647	42.25	272	default/Line	?UpdatePointColor@RndLine@@QAAXH_N@Z
38.305	39.40	328	default/SpotlightDrawer	?DrawShadow@SpotlightDrawer@@MAAXXZ
38.272	39.10	412	default/Mat	?Handle@RndMat@@UAA?AVDataNode@@PAVDataArray@@_N@Z
38.000	39.50	200	default/MidiInstrument	?Load@MidiInstrument@@UAAXAAVBinStream@@@Z
37.464	38.36	112	default/UISlider	?Copy@UISlider@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
36.587	38.97	252	default/band3/tour/FixedSetlist	?Init@FixedSetlist@@QAAXPBVDataArray@@@Z
36.524	38.06	496	default/Trans	??0RndTransformable@@IAA@XZ
35.581	37.19	124	default/HAQManager	?PrintComponentInfo@HAQManager@@AAAXPAVUIComponent@@@Z
35.122	36.46	164	default/CharLipSync	??$__uninitialized_copy@PAVString@@PAV1@@stlpmtx_std@@YAPAVString@@PAV1@00ABU__false_type@0@@Z
34.880	35.88	100	default/system/rndobj/Rnd	?CompressThread@@YAKPAX@Z
34.600	35.49	180	default/system/os/UsbMidiGuitar	??1Queue@@QAA@XZ
34.394	35.08	264	default/Debug	?Fail@Debug@@QAAXPBDPAX@Z
34.139	37.06	144	default/PropAnim	?Replace@RndPropAnim@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z
33.857	34.39	224	default/UI	??1Automator@@UAA@XZ
33.486	34.77	140	default/UITransitionHandler	??$?5VTexPtr@RndMatAnim@@@@YAAAVBinStreamRev@@AAV0@AAV?$Key@VTexPtr@RndMatAnim@@@@@Z
33.320	34.92	200	default/Shader	?CalcShaderOpts@RndShaderDrawRect@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z
31.905	33.45	168	default/UIComponent	?Copy@UIComponent@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
31.442	33.19	172	default/DuplicatedObject	?GetInstanceFromVector@InstanceTable@Quazal@@QAAIII@Z
30.868	31.53	152	default/UIListMesh	?Draw@UIListMesh@@UAAXABUUIListWidgetDrawState@@ABVUIListState@@ABVTransform@@W4State@UIComponent@@PAVBox@@W4DrawCommand@@@Z
29.672	31.48	232	default/SongStatusMgr	?LoadFixed@SongStatusMgr@@UAAXAAVFixedSizeSaveableStream@@H@Z
28.955	31.76	356	default/Tex	?SetBitmap@RndTex@@QAAXPAVFileLoader@@@Z
28.176	29.65	136	default/ProfileMgr	?FakeProfileFill@ProfileMgr@@QAAXXZ
26.321	28.29	112	default/LabelShrinkWrapper	?Copy@LabelShrinkWrapper@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
26.156	28.50	128	default/system/hamobj/MiniLeaderboardDisplay	?PreLoad@MiniLeaderboardDisplay@@UAAXAAVBinStream@@@Z
