solo_closable_B	solo_rows	sites	class	retail_masked_dupes	retail_S	ours_F	why
12	1	1	REFUTED_recursive_relocation	337	?ClassName@CharIKFingers@@UBA?AVSymbol@@XZ	?ClassName@CharBlendBone@@UBA?AVSymbol@@XZ	1 relocation slot(s) resolve to different retail bodies
12	1	1	REFUTED_residency	337	?ClassName@UILabel@@UBA?AVSymbol@@XZ	?ClassName@VocalTrackDir@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x822fe750 != addr(S)=0x827f4248; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharSleeve@@UBA?AVSymbol@@XZ	?ClassName@CharDriver@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x82377b30 != addr(S)=0x823cf918; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharForeTwist@@UBA?AVSymbol@@XZ	?ClassName@CharIKMidi@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823c9540 != addr(S)=0x823c6148; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharUpperTwist@@UBA?AVSymbol@@XZ	?ClassName@CharIKSliderMidi@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823cb0c8 != addr(S)=0x823c6e30; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharIKMidi@@UBA?AVSymbol@@XZ	?ClassName@CharMirror@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823cd980 != addr(S)=0x823c9540; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharIKSliderMidi@@UBA?AVSymbol@@XZ	?ClassName@CharNeckTwist@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823ce668 != addr(S)=0x823cb0c8; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharMirror@@UBA?AVSymbol@@XZ	?ClassName@CharPollGroup@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823afe58 != addr(S)=0x823cd980; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharNeckTwist@@UBA?AVSymbol@@XZ	?ClassName@CharServoBone@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x82375ce0 != addr(S)=0x823ce668; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@CharServoBone@@UBA?AVSymbol@@XZ	?ClassName@CharSleeve@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823cf918 != addr(S)=0x82375ce0; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@DialogDisplay@@UBA?AVSymbol@@XZ	?ClassName@CharUpperTwist@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823c6e30 != addr(S)=0x8232a0f0; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@VocalTrackDir@@UBA?AVSymbol@@XZ	?ClassName@Character@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x82372420 != addr(S)=0x822fe750; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@RndTexBlender@@UBA?AVSymbol@@XZ	?ClassName@LightPreset@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x824b5570 != addr(S)=0x8248ab90; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@FadePanel@@UBA?AVSymbol@@XZ	?ClassName@MsgSource@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823e35e8 != addr(S)=0x826a8a88; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@DxMovie@@UBA?AVSymbol@@XZ	?ClassName@DxMultiMesh@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x8273f828 != addr(S)=0x8273e478; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@BandCharacter@@UBA?AVSymbol@@XZ	?ClassName@RndLine@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x8247b5f0 != addr(S)=0x822896e0; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_residency	337	?ClassName@UISlider@@UBA?AVSymbol@@XZ	?ClassName@PanelDir@@UBA?AVSymbol@@XZ	retail keeps addr(F)=0x823591b8 != addr(S)=0x82809b98; two addresses is the definition of not folded; keeps the wrong-callee reading
12	1	1	REFUTED_shape_not_unique	337	?ClassName@RndLine@@UBA?AVSymbol@@XZ	?ClassName@RndSpline@@UBA?AVSymbol@@XZ	retail holds 337 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVRndAnimatable@@V?$StlNodeAlloc@PAVRndAnimatable@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
0	0	1	FOLD_PROVEN_installed	1	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAUDummySample@MidiChannel@@V?$StlNodeAlloc@PAUDummySample@MidiChannel@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	installed on >=2 independent channels
0	0	1	MAP_REPAIR_CANDIDATE	1	?resize@?$vector@UDepthBuffer3DAttachment@@V?$StlNodeAlloc@UDepthBuffer3DAttachment@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUDepthBuffer3DAttachment@@@Z	?resize@?$vector@VVocalScoreCache@@V?$StlNodeAlloc@VVocalScoreCache@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVVocalScoreCache@@@Z	sole retail caller Singer::PostLoad fits OUR spelling vector<VocalScoreCache> far better than the map name vector<DepthBuffer3DAttachment>; homogeneous fan-in gives no fold evidence; NOT repaired here
0	0	2	REFUTED_recursive_relocation	16	??1?$vector@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1?$vector@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	1 relocation slot(s) resolve to different retail bodies
0	0	1	REFUTED_recursive_relocation	11	?OnPlayerRemoved@Game@@QAAXPAVPlayer@@@Z	?OnPlayerSaved@Game@@QAAXPAVPlayer@@@Z	1 relocation slot(s) resolve to different retail bodies
0	0	1	REFUTED_recursive_relocation	4	??4?$_Rb_tree@VCRC@Hmx@@U?$less@VCRC@Hmx@@@stlpmtx_std@@U?$pair@$$CBVCRC@Hmx@@M@4@U?$_Select1st@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@U?$_MapTraitsT@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@priv@4@V?$StlNodeAlloc@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$_Rb_tree@HU?$less@H@stlpmtx_std@@U?$pair@$$CBHM@2@U?$_Select1st@U?$pair@$$CBHM@stlpmtx_std@@@2@U?$_MapTraitsT@U?$pair@$$CBHM@stlpmtx_std@@@priv@2@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAV01@ABV01@@Z	1 relocation slot(s) resolve to different retail bodies
0	0	2	REFUTED_residency	7	??$__merge_sort_with_buffer@PAVSymbol@@PAV1@HVAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00PAHVAccomplishmentGroupCmp@@@Z	??$__merge_sort_with_buffer@PAVSymbol@@PAV1@HVAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00PAHVAccomplishmentCategoryCmp@@@Z	retail keeps addr(F)=0x825f4a80 != addr(S)=0x825fbb50; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	1	REFUTED_residency	8	?Restart@BeatMatcher@@QAAXXZ	?SetAutoplayError@BeatMatcher@@QAAXH@Z	retail keeps addr(F)=0x82790568 != addr(S)=0x82790748; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	1	REFUTED_residency	6	??$__merge_without_buffer@PAVSymbol@@HVAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HHVAccomplishmentGroupCmp@@@Z	??$__merge_without_buffer@PAVSymbol@@HVAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HHVAccomplishmentCategoryCmp@@@Z	retail keeps addr(F)=0x825fbd78 != addr(S)=0x825fba20; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	1	REFUTED_residency	7	??$__merge_adaptive@PAVSymbol@@HPAV1@VAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HH0HVAccomplishmentGroupCmp@@@Z	??$__merge_adaptive@PAVSymbol@@HPAV1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HH0HVAccomplishmentCategoryCmp@@@Z	retail keeps addr(F)=0x825f4b10 != addr(S)=0x825fbbe0; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	1	REFUTED_residency	2	?GetTotalPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	?GetCurrentPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	retail keeps addr(F)=0x825a6ff8 != addr(S)=0x825a7158; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	1	REFUTED_residency	2	?GetCurrentPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	?GetTotalPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	retail keeps addr(F)=0x825a7158 != addr(S)=0x825a6ff8; two addresses is the definition of not folded; keeps the wrong-callee reading
0	0	3	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V1@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	3	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishment@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishment@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishmentCategory@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishmentCategory@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishmentGroup@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishmentGroup@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAward@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVSongFilter@SongSortMgr@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@5@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVSongFilter@SongSortMgr@@@stlpmtx_std@@@5@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	9	?_M_insert@?$hashtable@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBVSymbol@@PAVDataArray@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@2@ABU32@@Z	retail holds 9 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVUIScreen@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVUIScreen@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVLesson@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVLesson@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HPAVSongUpgradeData@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@USymbolHash@PatchDir@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	16	??$sort@PAPAVUILabel@@ULabelSort@?A0x15e3583a@@@stlpmtx_std@@YAXPAPAVUILabel@@0ULabelSort@?A0x15e3583a@@@Z	??$sort@PAPAVUIListWidget@@UWidgetDrawSort@?A0xd29bb4b7@@@stlpmtx_std@@YAXPAPAVUIListWidget@@0UWidgetDrawSort@?A0xd29bb4b7@@@Z	retail holds 16 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	1	REFUTED_shape_not_unique	5	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVMetaMusicScene@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVMetaMusicScene@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	retail holds 5 masked-identical bodies of this shape, so the per-instantiation family was NOT folded (CD-7 shape-identical class)
0	0	2	UNDECIDED	1	?PrintParticlePoolSize@?A0x1a651105@@YA?AVDataNode@@PAVDataArray@@@Z	?PrintParticlePoolSize@?A0xb0344ebf@@YA?AVDataNode@@PAVDataArray@@@Z	2 slot(s) unresolvable on this channel
0	0	1	UNDECIDED	1	?StartDecompressionThread@?A0x3d3858a8@@YAXXZ	?StartDecompressionThread@?A0xe745f4e1@@YAXXZ	11 slot(s) unresolvable on this channel
